"datetime","bid","ask","base","quote"
"2000-05-30 19:37:50.000000000",0.9289000000000001,0.9293,"EUR","USD"
"2000-05-30 19:39:45.000000000",0.929,0.9294,"EUR","USD"
"2000-05-30 19:42:04.000000000",0.9291,0.9295,"EUR","USD"
"2000-05-30 19:42:55.000000000",0.929,0.9294,"EUR","USD"
"2000-05-30 19:44:27.000000000",0.9291,0.9295,"EUR","USD"
"2000-05-30 19:46:37.000000000",0.9292,0.9296000000000001,"EUR","USD"
"2000-05-30 19:46:52.000000000",0.9291,0.9295,"EUR","USD"
"2000-05-30 19:48:00.000000000",0.9292,0.9296000000000001,"EUR","USD"
"2000-05-30 19:49:27.000000000",0.9293,0.9297000000000001,"EUR","USD"
"2000-05-30 19:49:55.000000000",0.9292,0.9296000000000001,"EUR","USD"
"2000-05-30 19:50:26.000000000",0.9293,0.9297000000000001,"EUR","USD"
"2000-05-30 19:54:20.000000000",0.9292,0.9296000000000001,"EUR","USD"
"2000-05-30 19:54:31.000000000",0.9291,0.9295,"EUR","USD"
"2000-05-30 19:55:02.000000000",0.9292,0.9296000000000001,"EUR","USD"
"2000-05-30 19:56:53.000000000",0.9293,0.9297000000000001,"EUR","USD"
"2000-05-30 19:57:07.000000000",0.9292,0.9296000000000001,"EUR","USD"
"2000-05-30 19:57:52.000000000",0.9291,0.9295,"EUR","USD"
"2000-05-30 19:58:23.000000000",0.9293,0.9297000000000001,"EUR","USD"
"2000-05-30 19:58:27.000000000",0.9294,0.9298000000000001,"EUR","USD"
"2000-05-30 19:58:29.000000000",0.9295,0.9299000000000001,"EUR","USD"
"2000-05-30 19:58:58.000000000",0.9294,0.9298000000000001,"EUR","USD"
"2000-05-30 19:59:09.000000000",0.9295,0.9299000000000001,"EUR","USD"
"2000-05-30 19:59:13.000000000",0.9296000000000001,0.93,"EUR","USD"
"2000-05-30 19:59:24.000000000",0.9297000000000001,0.9301,"EUR","USD"
"2000-05-30 19:59:25.000000000",0.9298000000000001,0.9302,"EUR","USD"
"2000-05-30 19:59:31.000000000",0.9299000000000001,0.9303,"EUR","USD"
"2000-05-30 19:59:36.000000000",0.9298000000000001,0.9302,"EUR","USD"
"2000-05-30 19:59:46.000000000",0.93,0.9304,"EUR","USD"
"2000-05-30 19:59:47.000000000",0.9301,0.9305,"EUR","USD"
"2000-05-30 20:00:19.000000000",0.9302,0.9306000000000001,"EUR","USD"
"2000-05-30 20:00:39.000000000",0.9303,0.9307000000000001,"EUR","USD"
"2000-05-30 20:01:03.000000000",0.9304,0.9308000000000001,"EUR","USD"
"2000-05-30 20:01:40.000000000",0.9303,0.9307000000000001,"EUR","USD"
"2000-05-30 20:01:51.000000000",0.9304,0.9308000000000001,"EUR","USD"
"2000-05-30 20:03:08.000000000",0.9303,0.9307000000000001,"EUR","USD"
"2000-05-30 20:03:16.000000000",0.9304,0.9308000000000001,"EUR","USD"
"2000-05-30 20:03:52.000000000",0.9305,0.9309000000000001,"EUR","USD"
